"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"11","The short-term effects of COVID-19 outbreak on dietary diversity and food security status of Iranian households (A case study in Tehran province)","Pakravan-Charvadeh, M. R.; Mohammadi-Nasrabadi, F.; Gholamrezai, S.; Vatanparast, H.; Flora, C.; Nabavi-Pelesaraei, A.","Currently, the COVID-19 outbreak is spreading fast in 185 countries and has engaged most people around the world. COVID-19 imposes severe and tragic consequences on people's health due to the high rate of spread and potentially fatal impacts. In this study, the association of socio-economic factors with food security and dietary diversity is assessed before and during the COVID-19 pandemic. Data from 299 respondents were collected by an online standard questionnaire. Household Dietary Diversity Score (HDDS) and Household Food Insecurity Access Scale (HFIAS) were calculated. A multinomial regression model was applied to determine factors associated with HDDS and HFIAS before and during COVID-19 outbreak. Food security of Iranian households improved during the initial COVID-19 pandemic period (P < 0.001). Households reduced consumption of some food groups during the COVID-19 pandemic compared to the pre-COVID-19 period. Key socio-economic factors associated with food insecurity during the COVID-19 pandemic included personal savings, household income, employment status of head of household, and nutrition knowledge of head of household. During the COVID-19 outbreak, household size, head of household's occupation, personal savings, and number of male children were significantly associated with dietary diversity. Distributing free food baskets to poor households, extending e-marketing, providing nutrition consultations, and organizing donations to support infected households may increase household dietary diversity and improve food security status during a pandemic such as COVID-19. Vulnerable populations in countries experiencing food insecurity, such as Iran, should be supported - not just by providing medical care and personal protective equipment, but also with flexible safety nets and food-based intervention programs to respond to population needs.",2021,"J Clean Prod","281","","124537",33052173,"10.1016/j.jclepro.2020.124537","Middle East"
"12","The effect of COVID-19 pandemic on the shrimp industry of Iran","Pazir, M. K.; Ahmadi, A.; Khezri, P. H.","The first case of COVID-19 was reported in December 2019, and then the virus has spread throughout the world, which led to lockdown in different countries, including Iran. Restrictions on transportation and travel of personnel caused some shortages in aquaculture, particularly in shrimp farms. This study aims to evaluate the impact of the COVID-19 outbreak on the shrimp farming industry in Iran. An online questionnaire was designed to collect information from shrimp farmers, material suppliers, food preparing factories, managers of shrimp hatchery centers, and shrimp exporters. Our results showed that the COVID-19 outbreak has significantly decreased the shrimp annual sales, export, and price in Iran. Also, the production of larvae was affected by COVID-19. Shrimp farming industries are still subject to impacts of the pandemic by reducing hatchery production, shrimp demand, and increasing production and transportation costs.",2022,"Mar Policy","136","","104900",34866758,"10.1016/j.marpol.2021.104900","Middle East"
"13","Are history of dietary intake and food habits of patients with clinical symptoms of COVID 19 different from healthy controls? A case-control study","Mohseni, H.; Amini, S.; Abiri, B.; Kalantar, M.; Kaydani, M.; Barati, B.; Pirabbasi, E.; Bahrami, F.","BACKGROUND: Coronavirus disease 2019 (COVID-19) is an infectious disease that put unprecedented significant strain on clinical services and healthcare systems. The aim of the present research was to assess dietary food groups and also food habits of patients with clinical symptoms of COVID 19 and healthy controls. METHODS: This case-control research was carried out on 505 participants (279 subjects with clinical symptoms of COVID-19 and 226 controls), in age 18-65 years. Dietary food group's intake last year was investigated by a food frequency questionnaire. Food habits were asked by a general information questionnaire. The strength of the association between food group's intakes with the odds ratios (ORs) of COVID-19 was assessed using Logistic regression models. RESULTS: After adjusting for physical activity in the logistic regression models, intake of dough and yogurt had a significantly protective role on occurrence of COVID19 (OR = 0.62; 95% confidence interval (CI) = 0.44-0.87; P = 0.006) (OR = 0.74; 95% CI = 0.56-0.98; P = 0.044), respectively. No significant differences were seen in food habits between the two groups in the last year ago. CONCLUSIONS: High risk population for COVID19, advised to consume enough amount of yogurt and dough at the time of this pandemic.",2021,"Clin Nutr ESPEN","42","","280-285",33745593,"10.1016/j.clnesp.2021.01.021","Middle East"
"14","The impact of COVID-19 confinement on the eating habits and lifestyle changes: A cross sectional study","Galali, Y.","Novel coronavirus (COVID-19) emerged in December 2019 in the city of Wuhan, China causing severe respiratory infections and resulting in millions admissions to hospital and over a million deaths worldwide. Authorities imposed protective measures including confinement to flatten curves of casualties resulted in sudden lifestyle and eating habit changes. The objectives of this study were to observe the impact of the COVID-19 lockdown on eating behavior and lifestyle of the Kurdish population in Iraqi Kurdistan. A structured cross-sectional study was conducted from 1st to 14th of June when the lockdown finished with three different sections. Section one (6 questions) included socio-demographic information section two (11 questions) composed of dietary behavior information including a) Mediterranean diet (MD) adherence using 14-scaled items with a MD screener tool ranging from 0 to 14 b) and sections three (12 questions) composed of lifestyle habit changes such as physical activity, sleeping behavior, and smoking habit. The total number of included respondents was 2,137. The results showed that 12.0% (256) of participants stated that their lifestyle was improved, whereas 50.9% (1,087) declared their lifestyle deteriorated. In particular, the frequency of physical activity was decreased (McNemar value = 60.53, p <.001) and sleeping hours were significantly increased during lockdown (McNemar value = 447.93, p <.001). Regarding eating habits, it was noticed that 29.3% and 14.3% felt that appetite increased and decreased, respectively. The appetite change during lockdown was significantly associated with age (p =.0001), gender (p =.001), city (p =.007), and BMI (p =.001). Similarly, 32.4% reported weight gain. In conclusion, this study is among the earliest studies showing the effect of COVID-19 on eating behavior and lifestyle changes. COVID-19 confinement had a significant effect on lifestyle particularly reducing physical activity and changing eating habits.",2021,"Food Sci Nutr","9","4","2105-13",33821183,"10.1002/fsn3.2179","Middle East"
"15","Reduced human activity in shallow reefs during the COVID-19 pandemic increases fish evenness","China, V.; Zvuloni, A.; Roll, U.; Belmaker, J.","The COVID-19 pandemic provides a rare opportunity to examine effects of people on natural systems and processes. Here, we collected fish diversity data from coral reefs at the Israeli Gulf of Aqaba during and after the COVID-19 lockdown. We examined beach entrances to the reef, nearby shallow reefs and deeper areas exposed mostly to divers. We found that the lockdown elicited a behavioral response that resulted in elevated species richness at designated reef entrances, predominantly influenced by increased evenness without changes to total abundances. This effect was observed both at the local scale and when several beach entrances were aggregated together. Consequently, non-extractive human activities may have substantial short-term impacts on fish diversity. Our insights could help designate guidelines to manage visitor impacts on coral reefs and aid in their prolonged persistence. © 2021 Elsevier Ltd",2021,"Biological Conservation","257","","",NA,"10.1016/j.biocon.2021.109103","Middle East"
"16","Preparedness and Readiness Strategies for Addressing the COVID-19 Pandemic in Fragile and Conflict Settings: Experiences of the Gaza Strip","Abuzerr, S.; Abu-Aita, S.; Al-Najjar, I.; Abuhabib, A.; Al-Jourany, H.; Zinszer, K.","The COVID-19 pandemic is a global public health threat of serious concern, especially in conflict settings that face fragility and lack adequate resources and capacities. Gaza suffers from a blockade imposed by the Israeli occupation, environmental deterioration, confiscation of lands, demolition of houses and hospitals, restrictions on movement, lack of control over natural resources, and financial constraints. Gaza's population is consequently living in a poor humanitarian situation with high unemployment rates, poverty, over-crowdedness, and a weak health system. This makes Gaza incredibly fragile and affects its ability to respond to the COVID-19 pandemic effectively. The pandemic is expected to deepen Gaza's systems' fragility, which is already overstretched beyond their limits. This will hinder its capacity to deal with the pandemic, and other pre-existing pressing humanitarian needs. Therefore, in this review, we comprehensively explored Gaza's policy failures and successes related to the COVID-19 preparedness and response by state and non-state actors and recommend potential solutions and alternatives. We have addressed critical issues including the health system, water, sanitation, hygiene, socio-economic, education, food security, and others. In Gaza, effectiveness in combating the COVID-19 pandemic can only come from committed political will, transparency from all regulators, strategic dialogue, comprehensive planning, and active international support.",2021,"Front Public Health","9","","766103",34881218,"10.3389/fpubh.2021.766103","Middle East"
"17","Eating habits among primary and secondary school students in the Gaza Strip, Palestine: A cross-sectional study during the COVID-19 pandemic","Radwan, A.; Radwan, E.; Radwan, W.","BACKGROUND: The COVID-19 pandemic has a great impact on the eating habits, dietary intake, and purchasing behaviours of students. At this critical moment, there is an urgent need to identify the eating habits of school students, in particular, who live in low-income countries, during the lockdown period. Therefore, the present study aims to identify the influence of COVID-19 on the eating habits, quality and quantity of food intake among school students in the Gaza Strip, Palestine. METHODS: A cross-sectional study was carried out among 2398 primary and secondary school students aged 6-18 year old through an online questionnaire which included questions on socio-demographic, eating habits as well as quality and quantity of food intake. Students over the age of 11 years completed the questionnaire on their own, whereas for students under the age of 12 years, the students' guardians were instructed to answer the questionnaire on their behalf. A Wilcoxon Signed-Rank and McNemar tests were applied to perform a comparison between general dietary habits before and during COVID-19. Also, a Wilcoxon Signed Rank test was used to compare the median scores of food quality and quantity before and during the COVID-19 pandemic based on student's sociodemographic. RESULTS: During the COVID-19 pandemic, there was a significant increase in eating home-cooked foods (91.6%), avoiding ordering food from outside per week (93.3%) and buying groceries online (7.7%) (p < 0.001). There was a marked increase in the students reporting fear about food hygiene outside the home from 20.8% before COVID-19 to 72.9% during the COVID-19 period (p < 0.001). The results showed that the median score for food quality during the COVID-19 pandemic (11.0/6.0) was significantly higher than the before COVID-19 period (10.0, IQR = 8.0) (p < 0.001). The results revealed that the median score for food quantity before the COVID-19 pandemic (15.0, IQR = 5.0) was significantly higher than the during COVID-19 pandemic (14.0, IQR = 7.0) (p < 0.001). The results showed significant differences between the before and during COVID-19 period for food quality and quantity across socio-demographic variables (gender, age group, parent's highest level of education, monthly household income, and household size). During the COVID-19 pandemic, students from a high-income and a small size family had the highest score in terms of food quality and quantity among other counterparts when compared to other counterparts. CONCLUSION: Eating habits have significantly altered among school students during the COVID-19 pandemic. In spite of some good healthy habits enhanced among students, the quantity and the quality of the food was compromised. Therefore, the responsible officials at the Ministry of Education must focus on enhancing school students' awareness towards increased intake of healthy food and adopting good eating habits during the spread of pandemics and health diseases to avoid its negative effects on students.",2021,"Appetite","163","","105222",33798621,"10.1016/j.appet.2021.105222","Middle East"
"18","Effect of Covid-19 on food security: A cross-sectional survey","Elsahoryi, N.; Al-Sayyed, H.; Odeh, M.; McGrattan, A.; Hammad, F.","BACKGROUND: Novel coronavirus (COVID-19) and subsequent quarantine could raise the risk of food inadequacy and nutrition deficiency crises. OBJECTIVES: This study aimed to assess the impacts of COVID-19 on household food security in Jordan, determined the percentage of food security and the levels of food insecurity during the quarantine, determined the associated factor with food insecurity, and determined main food groups associated with FINS during the quarantine. DESIGN: A cross-sectional study was conducted using a Web-based validated questionnaire. The Food Insecurity Experience Scale was used to measure the food insecurity during the first four weeks of the quarantine, and a modified food consumption score was used to determine the number of times the household consumes each food group. Univariate and multiple logistic regression models were used to describe, explore, and predict risk factors correlated with food insecurity among Jordanians, during the first four weeks of the quarantine. RESULTS: A total of 3129 Jordanians had responded to the assessment and fully answered the questionnaire. 23.1% of the total participants were severe food insecure, while 36.1% were moderate food insecure, 40.7% were food secure. The regression model demonstrated the monthly income per capita below the poverty line and a number of the family member (1-4 and 5-7) associated significantly with moderate food insecurity (OR: 5.33; 95% CI: 4.44-6.40, OR: 0.64; 95% CI: 0.47-0.86, OR: 0.76; 95% CI: 0.58-0.98, respectively). As well as with the severe food insecurity (OR: 6.87; 95% CI: 5.542-8.512, OR: 0.52; 95% CI: 0.37-0.74, 0.64; 95% CI: 0.48-0.87, respectively). Age 18-30 years old (OR: 1.80; 95% CI: 1.23-2.65) and living in a rented house (OR: 1.30; 95% CI: 1.01-1.69) were associated significantly with severe food insecurity. Carbohydrates and the meat group were significantly related to food insecurity (p-value was <0.001 for both groups). CONCLUSION: Covid-19 and its subsequent quarantine have a tangible impact on food security levels for the populations. Awareness and strategies to support individuals at higher risks should be guided not only by the income but also by other risk factors identified in the present study as the number of persons in the family, younger adults (18-30 years old), and those who do not own their houses).",2020,"Clin Nutr ESPEN","40","","171-178",33183533,"10.1016/j.clnesp.2020.09.026","Middle East"
"19","Impact of COVID-19 Lockdown on Body Weight, Eating Habits, and Physical Activity of Jordanian Children and Adolescents","Al Hourani, H.; Alkhatib, B.; Abdullah, M.","OBJECTIVE: The lockdown for the COVID-19 pandemic affects lifestyle patterns globally and impacts children and adolescents. This study aims to assess the effect of the lockdown on body weight, eating habits, and physical activity of Jordanian youth (children and adolescents). METHODS: A cross-sectional study was conducted on a sample of 477 Jordanian children and adolescents aged 6-17 y. The study tool was a structured validated questionnaire. It comprised 4 parts, including a general description of the study purpose, sociodemographic and anthropometric data, physical activity data, and food intake pattern. Questions were reported before and during lockdown. Changes in outcomes over the 2 study time points were evaluated. RESULTS: After the lockdown period, the mean body weight and body mass index for age Z-scores (BAZ) showed a significant increase (P < 0.001) compared with before the lockdown period. More than 50% of the subjects reported that they spent more than 3 h in front of the screen during the lockdown. The percent of subjects who watched TV for more than 3h was increased. Moreover, physical inactivity was increased significantly during the lockdown. All food groups consumption was significantly increased during the lockdown compared to before the lockdown. CONCLUSIONS: COVID-19 lockdown period was characterized by an increase in the use of screen-based devices, lower physical activity, uncontrolled food intake, and weight gain.",2021,"Disaster Med Public Health Prep","","","1-9",33588981,"10.1017/dmp.2021.48","Middle East"
"20","Does COVID-19 change dietary habits and lifestyle behaviours in Kuwait: a community-based cross-sectional study","Husain, W.; Ashkanani, F.","BACKGROUND: The coronavirus pandemic has transformed and continues to transform and affect the daily lives of communities worldwide, particularly due to the lockdown restrictions. Therefore, this study was designed to understand the changes in dietary and lifestyle behaviours that are major determinants of health during the COVID-19 outbreak. METHODS: A cross-sectional study was conducted through an online questionnaire using a convenience sample of 415 adults living in Kuwait (age range 18-73 years). RESULTS: The rate of skipping breakfast remained consistent, with a slight increase during the pandemic. Lunch remained the main reported meal before and during COVID-19. Compared to before COVID-19, people were much more likely have a late-night snack or meal during COVID-19 (OR = 3.57 (95% CI 1.79-7.26), p < 0.001). Moreover, there was a drastic decrease in the frequency of fast-food consumption during COVID-19, up to 82% reported not consuming fast food (p < 0.001). There was a significant increase in the percentage of participants who had their main meal freshly made (OR = 59.18 (95% CI 6.55-1400.76), p = 0.001). Regarding food group patterns, no significant differences were found before and during the pandemic in terms of the weekly frequency of consumption, except in the case of fish and seafood. There were no remarkable changes in beverage consumption habits among participants before and during the pandemic, except for Americano coffee and fresh juice. Furthermore, there was a great reduction in physical activity and an increase in the amount of screen time and sedentary behaviours. A notable increase was detected in day-time sleep and a decrease in night-time sleep among participants. CONCLUSION: In general, this study indicates some changes in daily life, including changes in some eating practices, physical activity and sleeping habits during the pandemic. It is important that the government considers the need for nutrition education programmes and campaigns, particularly during this critical period of the pandemic in Kuwait.",2020,"Environ Health Prev Med","25","1","61",33045996,"10.1186/s12199-020-00901-5","Middle East"
"21","The impact of coronavirus covid-19 pandemic on food purchasing, eating behavior, and perception of food safety in Kuwait","Altarrah, D.; Alshami, E.; Alhamad, N.; Albesher, F.; Devarajan, S.","During the COVID-19 pandemic, the government in Kuwait implemented public health measures to control the spread of the virus. However, despite the importance of these restrictions, normal activities related to purchasing of groceries, concerns related to food safety, and overall uncertainty may have influenced food behaviors and food consumption. Hence, the study investigates the impact of COVID-19 on food purchasing behaviors, eating behaviors, and the perception of food safety and security among residents in Kuwait. A cross-sectional study was carried out using self-administered questionnaires between 28 July 2020 and 31 August 2020 during the COVID-19 pandemic in Kuwait. A total of 841 respondents participated in the study. The study identified several changes in food purchasing behaviors, eating behaviors, food consumption, and consumers perceptions on food safety during the pandemic. The closures, restrictions, and changes in food purchasing evidently influenced individual’s eating behaviors. Largely, participants were found to (i) change their food purchasing behavior (74%); (ii) opt for online food delivery services (42.8%); (iii) purchase long-shelf-life foods (e.g., canned food and dry staples) (76%); (iv) consume more meals at home (76%); and (v) follow public health measures to reduce the spread of the virus and ensure their safety (98%). This study indicates that individuals during times of uncertainty and stress change their food purchasing behaviors, food consumption habits, and follow guidelines and recommendations. These findings may help public health initiatives to focus on raising awareness about the importance of health, wellbeing, and nutrition during times of crises. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,"Sustainability (Switzerland)","13","16","",NA,"10.3390/su13168987","Middle East"
"22","Dietary Habits and Lifestyle During Coronavirus Pandemic Lockdown: Experience From Lebanon","Cheikh Ismail, L.; Hashim, M.; Mohamad, M. N.; Hassan, H.; Ajab, A.; Stojanovska, L.; Jarrar, A. H.; Hasan, H.; Abu Jamous, D. O.; Saleh, S. T.; Al Daour, R.; Osaili, T. M.; Al Dhaheri, A. S.","This study aimed to examine the impact of quarantine on eating habits and lifestyle behaviors among the Lebanese adult population. A cross-sectional study was conducted using an online questionnaire designed on Google Forms between 3 June and 28 June 2020. The survey questions were adapted from the Short Food Frequency Questionnaire, the International Physical Activity Questionnaire Short Form, and the second version of the Copenhagen Psychosocial Questionnaire. A total of 2,507 adults completed the questionnaire. During the lockdown, 32.8% claimed weight gain, 44.7% did not eat fruits daily, 35.3% did not eat vegetables on daily basis, and 72.9% reported drinking less than eight cups of water per day. Moreover, there was a significant increase in the number of meals consumed per day, consumption of homemade meals, sedentary time, stress, and sleeping disturbances during the pandemic compared to before the pandemic (all p < 0.001). However, there was a significant decrease in physical activity engagement, sleep quality, and energy level during the lockdown compared to before the pandemic (all p < 0.001). The study highlights that the COVID-19 lockdown was associated with unfavorable changes in dietary habits and lifestyle behaviors in Lebanon. Sleep and mental health were also negatively impacted by the pandemic.",2021,"Front Nutr","8","","730425",34527692,"10.3389/fnut.2021.730425","Middle East"
