"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"11","The Case for Healthy U.S.‐China Agricultural Trade Relations despite Deglobalization Pressures","Zhang, Wendong","The COVID‐19 pandemic is crippling the global economy and heightening distrust and political disagreements among major countries. Furthermore, ongoing deglobalization efforts taken by firms and countries are fueling the rise of economic nationalism. A prime example is the possible decoupling of US–China economic and trade relations, which the ongoing trade war has already significantly disrupted. This paper analyzes the impacts of COVID‐19 on US agricultural exports to China, especially the added delays and uncertainty regarding China's food imports meeting the US–China phase one trade deal target. I present the views of US farmers and the general public toward China and argue that healthy US–China agricultural trade relations are not only critical for both countries but welcomed by US farmers. I also discuss the possible rise in nontariff barriers following the pandemic as well as trade policies that are increasingly intertwined with political tensions. Finally, I discuss how the US–China phase one trade deal could possibly lead to a more balanced bilateral agricultural trade portfolio with greater share of protein and retail food products. [ABSTRACT FROM AUTHOR]
Copyright of Applied Economic Perspectives & Policy is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",2021,"Applied Economic Perspectives & Policy","43","1","225-247",148631499,"10.1002/aepp.13115","Europe"
"12","Has the COVID-19 pandemic affected maritime connectivity? An estimation for China and the polar silk road countries","Tianming, G.; Erokhin, V.; Arskiy, A.; Khudzhatov, M.","In light of about 80% of international freight traffic carried by sea, maritime supply chains’ stability is pivotal to global connectivity. For over a year now, the transboundary mobility of vessels and cargoes has been restricted by diverse forms of the COVID-19 containment measures applied by national governments, while the lockdowns of people, businesses, and economic activities have significantly affected the growth prospects of various maritime connectivity initiatives. This study investigates how the pandemic-related public health, trade, and market factors have shifted the connectivity patterns in the Polar Silk Road (PSR) transport corridor between China, South Korea, Japan, Russia, and four economies of Northern Europe. The causality links between the Shipping Connectivity Index (SCI) and the number of COVID-19 cases and deaths, trade volumes with China and the rest of the world, and price indexes of minerals, fuels, food, and agricultural products are revealed separately for eight countries and thirty-five ports. The study algorithm is built on the consecutive application of the Augmented Dickey-Fuller (ADF) and the Phillips-Perron (PP) stationarity tests, the Autoregressive Distributed Lag (ARDL) method, the Fully-Modified Ordinary Least Squares (FMOLS) and the Dynamic Ordinary Least Squares (DOLS) robustness checks, and the Toda-Yamamoto causality test. Tight trade-connectivity links are recorded in all locations along the China-PSR transport corridor in 2015-2019, but in 2020, the relationships weakened. Bidirectional influences between the number of COVID-19 cases and connectivity parameters demonstrate the maritime sector’s sensitivity to safety regulations and bring into focus the role of cargo shipping in the transboundary spread of the virus. The authors’ four-stage approach contributes to the establishment of a methodology framework that may equip stakeholders with insights about potential risks to maritime connectivity in the China-PSR maritime trade in the course of the pandemic. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,"Sustainability (Switzerland)","13","6","",NA,"10.3390/su13063521","Europe"
"13","Impacts of COVID-19 on changing patterns of household food consumption: An intercultural study of three countries","Kartari, A.; Özen, A. E.; Correia, A.; Wen, J.; Kozak, M.","In light of COVID-19's effects on individuals' social, economic, political, and psychological values, this paper aims to investigate the pandemic's role in possible changes to people's food consumption and meal habits in three countries, namely China, Portugal, and Turkey. The sample includes individuals from the three countries, exploratory factor analysis and non-parametric tests were used to test the differences. Results suggest that coronavirus has played a strong part in altering households' food consumption and meal habits within these countries. The pandemic has particularly led to greater consumption of fresh fruits and vegetables and spending more time eating meals at home. Portugal appears to be consuming more seafood, bread, and butter whereas China features higher consumption of rice and meat products; Turkey is consuming more meat and eggs. The study closes with a set of recommendations for the society and future research.",2021,"Int J Gastron Food Sci","26","","100420",34777638,"10.1016/j.ijgfs.2021.100420","Europe"
"14","Global fisheries responses to culture, policy and covid-19 from 2017 to 2020","He, B.; Yan, F.; Yu, H.; Su, F.; Lyne, V.; Cui, Y.; Kang, L.; Wu, W.","Global Fishing Watch (GFW) provides global open-source data collected via automated monitoring of vessels to help with sustainable management of fisheries. Limited previous global fishing effort analyses, based on Automatic Identification System (AIS) data (2017–2020), suggest economic and environmental factors have less influence on fisheries than cultural and political events, such as holidays and closures, respectively. As such, restrictions from COVID-19 during 2020 provided an unprecedented opportunity to explore added impacts from COVID-19 restrictions on fishing effort. We analyzed global fishing effort and fishing gear changes (2017–2019) for policy and cultural impacts, and then compared impacts of COVID-19 lockdowns across several countries (i.e., China, Spain, the US, and Japan) in 2020. Our findings showed global fishing effort increased from 2017 to 2019 but decreased by 5.2% in 2020. We found policy had a greater impact on monthly global fishing effort than culture, with Chinese longlines decreasing annually. During the lockdown in 2020, trawling activities dropped sharply, particularly in the coastal areas of China and Spain. Although Japan did not implement an official lockdown, its fishing effort in the coastal areas also decreased sharply. In contrast, fishing in the Gulf of Mexico, not subject to lockdown, reduced its scope of fishing activities, but fishing effort was higher. Our study demonstrates, by including the dimensions of policy and culture in fisheries, that large data may materially assist decision-makers to understand factors influencing fisheries’ efforts, and encourage further marine interdisciplinary research. We recommend the lack of data for small-scale Southeast Asian fisheries be addressed to enable future studies of fishing drivers and impacts in this region. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,"Remote Sensing","13","22","",NA,"10.3390/rs13224507","Europe"
"15","Assessing COVID-19’s “known unknowns”: potential impacts on marine plastic pollution and fishing in the South China Sea","Heazle, M.","This paper examines three of the COVID-19 pandemic’s “known” impacts to date: its widespread and fundamental altering of government policy priorities; record low oil prices and its role in further escalating already heightened levels of strategic competition in East Asia and weakening of the existing multilateral order. The paper then uses some of the observed outcomes of these changes under the pandemic so far, in addition to additional evidence and causal linkages drawn from past research, to assess COVID-19’s potential, but still unknown, longer term influence on marine plastic pollution and overfishing in the South China Sea, two of East Asia’s most pressing marine environmental problems. In addition to flagging potential COVID-19 linked issues of concern in these two important policy areas, this approach also may assist further inquiry into the pandemic’s still unknown potential to undermine environmental protection and regulatory efforts in other environmental issue areas. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",2021,"Maritime Studies","20","4","459-474",NA,"10.1007/s40152-021-00237-y","Europe"
"16","Impact of sars-Cov-2 virus on maritime traffic in the port of ploce","Stanivuk, T.; Stazic, L.; Batinovic, J.; Batinovic, A.","The paper investigates the impact of the SARS-COV-2 virus pandemics on overall cargo operations, using the company Luka Ploce Ltd. as an example. Luka Ploce Ltd (Port of Ploce) is a joint venture for maritime transport services, port services, warehousing and freight forwarding. Company data from the period from 2016 to 2019 was analysed using the prognostic ARIMA model (1.1.1) in order to predict volume of the cargo operations in 2020. The prognostic model predicted average increase of the cargo transhipments close to 10%. That prediction is compared with the actual results of the Luka Ploce Ltd for the first half of the 2020. The comparison is showing that there was a significant decrease of the transhipments of the cargo of almost 32%, with some exceptions due to delay in deliveries and urgent supplies of medical equipment. © 2021 Institute for Transport Studies in the European Economic Integration. All rights reserved.",2021,"European Transport - Trasporti Europei","82","","",NA,"10.48295/ET.2021.82.7","Europe"
"17","The Outcome of COVID-19 Lockdown on Changes in Body Mass Index and Lifestyle among Croatian Schoolchildren: A Cross-Sectional Study","Kenđel Jovanović, G.; Dragaš Zubalj, N.; Klobučar Majanović, S.; Rahelić, D.; Rahelić, V.; Vučak Lončar, J.; Pavičić Žeželj, S.","Globally, the COVID-19 pandemic altered adults' and children's lifestyles and habits, causing an increase in body weight. Adolescents are sensitive to habit changes and, because of their insufficient capacity to deal with the unexpected COVID-19 changes, were at greater risk of noncommunicable disease development due to the consequences of adopting unhealthy habits. The survey aimed to reveal the changes in nutritional status and lifestyle habits of school children in Croatia and to assess their nutrition knowledge and emotional state and feelings about COVID-19 lockdown. Self-reported data from 1370 school children aged 10 to 15 years were obtained to examine the influence of the lockdown on their nutritional status, lifestyle and emotional status, and to assess their nutrition knowledge. The study revealed that the COVID-19 lockdown has caused an increase in the proportion of overweight and obesity among Croatian school children who changed their lifestyle habits towards being less physically active, spending more time using screen-based media and revealing potential psychological distress. However, the schoolchildren had a high adherence to the Mediterranean diet assessed with the Mediterranean Diet Quality Index for children and adolescents KIDMED index and had good nutrition knowledge. Public health programs promoting a healthy lifestyle and involving the whole family, in a school environment, could provide children with a healthy adulthood.",2021,"Nutrients","13","11","",34836045,"10.3390/nu13113788","Europe"
"18","Adherence to the Mediterranean Diet during the COVID-19 national lockdowns: a systematic review of observational studies","Della Valle, P. G.; Mosconi, G.; Nucci, D.; Vigezzi, G. P.; Gentile, L.; Gianfredi, V.; Bonaccio, M.; Gianfagna, F.; Signorelli, C.; Iacoviello, L.; Odone, A.","BACKGROUND AND AIM OF THE WORK: During the COVID-19 pandemic, many countries adopted restrictive measures to mitigate infection spread, which might have influenced people's lifestyle and dietary habits. We conducted a systematic review to evaluate the impact of national lockdowns on adherence to the Mediterranean Diet (MD). METHODS: Studies were identified searching Medline, Embase, Web of Science, and the Cochrane Library. Studies published until 4th May 2021 were included. We only considered studies reporting original data from quantitative analysis and assessing changes in adherence to the MD, using validated dietary scores, or in consumption of MD food items. Data extraction, pooling, and quality appraisal of included studies were conducted following the PRISMA guidelines. RESULTS: Forty-two studies were retrieved. After screening, 12 studies met inclusion criteria and were included in the review, of which 4 (33%) were longitudinal studies. Six (85.7%) of the seven studies that measured changes in MD adherence before-during lockdown reported an increase (rate of change of high-adherence to MD ranged between +3.3% and +21.9%). Evidence indicates that consumption of MD food items increased during lockdown but is heterogeneous in study design, quality, and findings. CONCLUSIONS: Our results suggest adherence to the MD during lockdown might have increased in some settings, while the determinants of such a trend are to be further explored. We raise awareness of the need to research further the impacts and long-term consequences of COVID-19 containment measures on dietary and lifestyle habits.",2021,"Acta Biomed","92","S6","e2021440",34739464,"10.23750/abm.v92iS6.12233","Europe"
"19","Measuring the level of environmental performance on coastal environment before and during the covid-19 pandemic: A case study from Cyprus","Loizia, P.; Voukkali, I.; Chatziparaskeva, G.; Navarro-Pedreño, J.; Zorpas, A. A.","Tourism activities are considered, among others, the backbone of the local economies. However, tourism activities lead to adverse environmental impacts, especially in coastal zones. Coastal areas are considered and recognized as of strategic importance due to the fact that several activities take place, from leisure to business. At the same time, coastal areas are under pressure from tourist activities, and the waste generated is a very serious issue. Therefore, there are limited studies related to the environmental dimensions of the COVID-19 pandemic in the coastal environ-ment. This paper provides answers to the hypothesis that the pandemic lockdown scenario would improve environmental performance due to reduced usage and, therefore, waste, taking into account specific key performance indicators (KPIs) as these KPIs are used to evaluate the performance of an area. The results showed that the study area improved, as did the selected KPIs, i.e., clean coast index (CCI), waste accumulation rate (WAR), and waste accumulation index (WAI). Addi-tionally, according to the final results, the concentration of micro-, meso-and macroplastics on the beach reduced, and the main issues remained the solutions on cigarette butts, straws, and other plastic containers. Furthermore, the final results are considered very useful to local authorities, stakeholders, consultants, policymakers, and any other competent authorities, to reschedule their waste management strategies, to improve waste infrastructures and their level of services (LOS), as well as, to suggest frequent awareness-raising activities to their visitors on how to protect the coastal environment, taking into account a pandemic scenario, as well as, the policy alternative impacts on EU coastal zones 2000–2050. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,"Sustainability (Switzerland)","13","5","1-25",NA,"10.3390/su13052485","Europe"
"20","Economic consequences of coronavirus disease (COVID-19) on fisheries in the eastern mediterranean (Cyprus)","Giannakis, E.; Hadjioannou, L.; Jimenez, C.; Papageorgiou, M.; Karonias, A.; Petrou, A.","Fisheries are among the sectors hardest-hit by the coronavirus pandemic (COVID-19) crisis due to the sudden decrease in the demand for seafood. This study employs demand-driven and supply-driven input-output models to conduct an economy-wide assessment of the contraction of the fisheries activities in Cyprus, as well as a questionnaire survey to reveal fishermen’s perceptions of COVID-19 crisis impacts. The results at the macroeconomic level reveal that the contraction in the economic output of the fisheries sector does not have any significant impact on the wider economy due to the small size of the sector. However, the COVID-19 crisis has major negative effects on fishermen’s income and the livelihoods of fishers’ households. The average gross margin of the interviewed fishermen for March 2020, i.e., the month where a national quarantine and lockdown was imposed, was four times less the average monthly gross margin for the winter period (December 2019–February 2020) and 2.5 times less compared to the average monthly gross margin of 2019. The recessionary impacts of the COVID-19 crisis in conjunction with the chronic challenges that fisheries are currently facing in Cyprus, negatively affect the viability of the sector. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2020,"Sustainability (Switzerland)","12","22","1-11",NA,"10.3390/su12229406","Europe"
"21","Quarantine during COVID-19 outbreak: Adherence to the Mediterranean diet among the Cypriot population","Kyprianidou, M.; Christophi, C. A.; Giannakou, K.","OBJECTIVE: The aim of this study was to analyze adherence to the Mediterranean diet among the adult general population of Cyprus during the COVID-19 confinement. METHODS: This was an Internet-based, cross-sectional study that collected information about socioeconomic and demographic characteristics, adherence to the Mediterranean diet and other dietary details, physical activity levels, and smoking habits using a self-administered questionnaire. The survey was conducted between April 6 and June 20, 2020, 1 to 2.5 mo after the initiation of the social confinement measures. RESULTS: There were 1485 Cypriot adults who participated in the study. The median Mediterranean diet score was 21 (q1 = 19, q3 = 24) with men, married individuals, residents of rural regions, and physically active participants being more adherent to the Mediterranean diet compared with women; unmarried, divorced, or widowed; residents of urban regions; and physically inactive participants, respectively (P < 0.05). Multinomial logistic regression showed that being ≥45 y of age and physically active was positively associated with the Mediterranean diet score, whereas being unmarried, divorced, or widowed and a current smoker was negatively associated with the Mediterranean diet score (P < 0.05). CONCLUSIONS: Adherence to the Mediterranean diet during the confinement imposed due to the COVID-19 pandemic among the Cypriot adult population was associated with male sex, age >45 y, being married, being physically active, and being resident of rural regions. The importance of better understanding of nutritional behavior during COVID-19 lockdowns is emphasized so public health authorities can plan future lockdown policies on nutritional recommendations, should a new pandemic occur.",2021,"Nutrition","90","","111313",34119718,"10.1016/j.nut.2021.111313","Europe"
"22","Food waste behaviour at the consumer level: Pilot study on czech private households","Kubíčková, L.; Veselá, L.; Kormaňáková, M.","The issue of food waste is a problem that affects the whole society. Food is wasted throughout the food chain. Households are great contributors to the problem. A detailed analysis of municipal waste from the production of 900 Czech households was performed. These datasets allowed for comprehensive insides. The analyses of mixed municipal waste were performed every quarter of the year (summer 2019–spring 2020). The method of municipal waste analysis was sup-plemented by questionnaire survey among households and 10 in‐depth interviews aimed at identi-fying the main causes of waste. One of the periods in which food waste was measured was affected by the global COVID‐19 pandemic. This finding has also been confirmed by findings from other countries. The climatic crisis multiplied by the impacts of COVID‐19 has highlighted the need to actively address the issue of food waste. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,"Sustainability (Switzerland)","13","20","",NA,"10.3390/su132011311","Europe"
"23","Changes in angler demography and angling patterns during the Covid-19 lockdown in spring 2020 measured through a citizen science platform","Gundelund, C.; Skov, C.","From 11 March to end of May 2020 a lockdown was imposed in Denmark due to the Covid-19 outbreak. Concurrently a 20% increase in sales of mandatory national angling licenses was reported in Denmark, suggesting an increase in angling participation. Here, we use data collected from a citizen science platform for recreational anglers to a) explore whether the increase in participation affected multiple characteristics of the anglers that registered to the citizen science platform in spring 2020, and b) explore changes in angling effort and catch patterns during the lockdown as reported to the platform. The results indicate that the platform was able to detect changes in the characteristics of the participants in the Danish recreational angling during the Covid-19 lockdown, i.e. participants were younger, more likely to live in urban areas, less experienced, stated angling as a less important hobby, and less likely to be from outside of Denmark. The spring 2020 participants did not conduct more fishing trips compared to previous years, but their effort patterns differed. The effort patterns revealed a shift in fishing activity from weekend to weekday and, during the day, a shift in fishing activity from midday to early evening. These changes most likely reflect the extraordinary conditions that most Danes experienced during the lockdown. We found relatively lower catch rates and a trend towards retaining more fish, among the participants that registered in spring 2020. The results are discussed in relation to biological implications and lessons learned about data collection from citizen science platforms.",2021,"Mar Policy","131","","104602",34511704,"10.1016/j.marpol.2021.104602","Europe"
"24","""Corona Cooking"": The interrelation between emotional response to the first lockdown during the COVID-19 pandemic and cooking attitudes and behaviour in Denmark","Grunert, K. G.; Janssen, M.; Nyland Christensen, R.; Teunissen, L.; Cuykx, I.; Decorte, P.; Reisch, L. A.","For this study, the authors measured attitudes toward shopping for food and cooking, before and during the first lockdown due to the COVID-19 pandemic, among a sample of 526 Danish consumers, using an online survey. To analyse changes due to the lockdown, they applied a latent class Markov model, which revealed four states: middle of the road, love cooking (and like shopping), like shopping and cooking, and do not like shopping or cooking. In estimating transition probabilities, the findings reveal that most respondents remained in the same state before and during the lockdown, but those that changed were more likely to exhibit relatively higher liking of shopping and cooking. These states also reflect variations in people's food literacy and self-reported food consumption. Finally, respondents with stronger negative emotional reactions to the lockdown were more likely to change their states.",2022,"Food Qual Prefer","96","","104425",34629761,"10.1016/j.foodqual.2021.104425","Europe"
"25","Reported Changes in Dietary Habits During the COVID-19 Lockdown in the Danish Population: The Danish COVIDiet Study","Giacalone, D.; Frøst, M. B.; Rodríguez-Pérez, C.","This paper focuses on the effect of the COVID-19 lockdown on the dietary habits of adult Danes. Two aspects were specifically considered: 1) reported changes in intake of specific food categories and 2) effect on healthy eating, operationalized as adherence to the Mediterranean diet (MEDAS score). Respondents (N = 2,462) completed a 44-items self-administered online survey designed for the assessment of their socio-demographic characteristics, general food habits, and consumption frequency of selected foods (mainly related to the MedDiet) during the lockdown. The data indicated that the lockdown has affected dietary habits of adult Danes to a relatively limited degree. The most important findings were that a substantial proportion of respondents (≥28%) reported eating more, snacking more, exercising less, and gaining weight during the lockdown. Results could be linked to the amount of time spent at home (e.g., a higher cooking frequency) a higher degree of emotional eating during the lockdown (e.g., a higher consumption of pastries and alcohol). Women were generally affected to a higher degree than men. Additionally, dietary changes during the lockdown to a certain degree reflected pre-existing (un)healthy eating habits, as positive health outcomes were observed in respondents with a high MEDAS score and negative outcomes (e.g., weight gain and higher intakes of pastries and carbonated beverages) were associated with respondents with a low MEDAS score. These changes, if sustained long-term, are potentially concerning from a public health perspective, especially given that more than half of the respondents were characterized by a low adherence to the MedDiet.",2020,"Front Nutr","7","","592112",33364250,"10.3389/fnut.2020.592112","Europe"
