"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"11","Effect of COVID-19 Anthropause on Water Clarity in the Belize Coastal Lagoon","Callejas, I. A.; Lee, C. M.; Mishra, D. R.; Felgate, S. L.; Evans, C.; Carrias, A.; Rosado, A.; Griffin, R.; Cherrington, E. A.; Ayad, M.; Rudresh, M.; Page, B. P.; Jay, J. A.","The Coronavirus disease 2019 (COVID-19) pandemic halted human activities globally in multiple sectors including tourism. As a result, nations with heavy tourism, such as Belize, experienced improvements in water quality. Remote sensing technologies can detect impacts of “anthropauses” on coastal water quality. In this study, moderate resolution imaging spectroradiometer (MODIS) satellite data were employed along the Belizean coast to investigate impacts of the COVID-19 shutdown on water quality. The attenuation coefficient at 490 nm, Kd(490), was used as an indicator of water quality, with a lower Kd(490) indicating increased water clarity. Four Coastal Management Zones were characterized by marine traffic as high traffic areas (HTAs) and two as low traffic areas (LTAs). Monthly composites for two periods, 2002–2019 (baseline) and 2020 were examined for Kd(490). For months prior to the COVID-19 shutdown in Belize, there was generally no significant difference in Kd(490) (p &gt; 0.05) between 2020 and baseline period in HTAs and LTAs. Through the shutdown, Kd was lower in 2020 at HTAs, but not for LTAs. At the LTAs, the Kd(490)s observed in 2020 were similar to previous years through October. In November, an unusually active hurricane season in 2020 was associated with decreased water clarity along the entire coast of Belize. This study provides proof of concept that satellite-based monitoring of water quality can complement in situ data and provide evidence of significant water quality improvements due to the COVID-19 shutdown, likely due to reduced marine traffic. However, these improvements were no longer observed following an active hurricane season. © Copyright © 2021 Callejas, Lee, Mishra, Felgate, Evans, Carrias, Rosado, Griffin, Cherrington, Ayad, Rudresh, Page and Jay.",2021,"Frontiers in Marine Science","8","","",NA,"10.3389/fmars.2021.648522","Latin America and Caribbean"
"12","COVID-19 pandemic: Towards a blue recovery in small island developing states","","",2021,"","","","",NA,"","Latin America and Caribbean"
"13","Unemployment, poverty, and hunger in Brazil in Covid-19 pandemic times","Neves, J. A.; Machado, M. L.; de Almeida Oliveira, L. D.; Moreno, Y. M. F.; de Medeiros, M. A. T.; de Assis Guedes de Vasconcelos, F.","This scientific note presents preliminary developments of the Covid-19 pandemic on unemployment, poverty, and hunger in Brazil. The data on unemployment rate, un employment insurance claims, contingent of families in extreme poverty, and food insecurity was collected in government information systems, research published by public agencies, scientific articles, and in news portals. In an upward trajectory since 2015, the increase in unemployment and the number of families in extreme poverty was exacerbated after the pandemic began, drastically reducing the purchase power and access to healthy and adequate food, affecting mainly women and the populations of the Northern and Northeastern regions. Between January and September 2020, there was a 3% increase in unemployment in Brazil and, in October 2020, there were almost 485 thousand more families in extreme poverty compared to January of the same year. There are inadequate and insufficient responses from the Brazilian government to the articulated set of problems. The Covid-19 pandemic is a new element that potentiates the recent increase in hunger in Brazil, which occurs in parallel with the dismantling of the Food and Nutrition Security programs and the expansion of fiscal austerity measures, started with the political-economic crisis in 2015. There is an urgent need to recover the centrality of the agenda to fight hunger in Brazil, associated with the development of more robust contributions on the impact of the pandemic on the phenomena of poverty and hunger. © 2021. All Rights Reserved. Nesta nota científica apresentam-se desdobramentos preliminares da pandemia de Covid-19 sobre o desemprego, a pobreza e a fome no Brasil. Utilizaram-se dados sobre a taxa de desocupação, solicitações de seguro-desemprego e contingente de famílias em extrema pobreza e em insegurança alimentar, coletados em sistemas de informação governamentais, em pesquisas publicadas por órgãos públicos, em artigos científicos e em portais de notícias. Em trajetória ascendente, desde 2015, identificou-se um aumento do desemprego e do número de famílias em extrema pobreza após a instauração da pandemia, o que pode reduzir drasticamente o poder de compra e o acesso à alimentação adequada e saudável, afetando, principalmente, as mulheres e a população das regiões Norte e Nordeste. Entre janeiro e setembro de 2020, houve o aumento de 3% desemprego no Brasil e, em outubro de 2020, havia quase 485 mil famílias a mais em situação de extrema pobreza, relativamente a janeiro do mesmo ano. Verificam-se respostas inadequadas e insuficientes do governo brasileiro frente ao conjunto articulado de problemas. A pandemia de Covid-19 consiste em um novo elemento potencializador do aumento recente da fome no Brasil, que ocorre paralelamente ao desmonte dos programas de Segurança Alimentar e Nutricional e à ampliação de medidas de austeridade fiscal iniciadas com a crise político-econômica em 2015. Urge resgatar a centralidade da agenda de combate à fome no Brasil, associadamente ao desenvolvimento de contribuições mais robustas sobre o impacto da pandemia nos fenômenos da pobreza e da fome. © 2021. All Rights Reserved.",2021,"Revista de Nutricao","34","","1-7",NA,"10.1590/1678-9865202134E200170","Latin America and Caribbean"
"14","Popular health surveillance in traditional fishing communities and the ecology of knowledges in the fight against COVID-19","Trindade, Aamd; Pena, P. G. L.; Lima, M. A. G.; Freitas, Mdcs; Araújo, K. L.","Considering the public health emergency of international importance caused by COVID-19, artisanal fishing workers, engaging in a dialogue with Brazilian leaders and scholars, created an Observatory on the impacts of this pandemic on fishing communities in March 2020. The purpose of this article is to analyze the experience of popular surveillance of fishermen and fisherwomen's health through daily reports produced at the Observatory. It is a monitoring process that allowed broadening the recognition of the diversity of vulnerable populations' ways of life that intertwine health, environment and work. The study used a qualitative, horizontal and emancipatory methodology and sought approaches to the practice of the ecology of knowledges, with the following results: shared construction of information and knowledges based on heterogeneous social experiences; practice of collective ombudsman with the appreciation of knowledges built in social struggles); joint assessment of public health inequities, territorial conflicts, and environmental, structural, and institutional racism; guidance of social leaders and fundraising through public notices. Thus, the dynamics and horizontality of learning based on solidarity and social emancipation from inter-knowledge are revealed.",2021,"Cien Saude Colet","26","12","6017-6026",34909994,"10.1590/1413-812320212612.14682021","Latin America and Caribbean"
"15","COVID-19 and food and nutritional (in)security: action by the Brazilian Federal Government during the pandemic, with budget cuts and institutional dismantlement","Alpino, T. M. A.; Santos, C. R. B.; Barros, D. C.; Freitas, C. M.","The COVID-19 pandemic poses one of this century's greatest public health challenges, with impacts on the health and living conditions of populations worldwide. The literature has reported that the pandemic affects the hegemonic food system in various ways. In Brazil, the pandemic amplifies existing social, racial, and gender inequalities, further jeopardizing the Human Right to Adequate Food (HRAF) and the attainment of food and nutritional security, especially among more vulnerable groups. In this context, the article aims to analyze the first measures by the Brazilian Federal Government to mitigate the pandemic's effects and that may have repercussions on food and nutritional security, considering the recent institutional changes in policies and programs. A narrative literature review was performed, and the information sources were the bulletins of the Center for Coordination of Operations by the Crisis Committee for Supervising and Monitoring the Impacts of COVID-19 and homepages of various government ministries, from March to May 2020. The actions were systematized according to the guidelines of the National Policy for Food and Nutritional Security. The analysis identified the creation of institutional crisis management arrangements. The proposed actions feature those involving access to income, emergency aid, and food, such as authorization for food distribution outside schools with federal funds from the National School Feeding Program. However, the setbacks and dismantlement in food and nutritional security may undermine the Federal Government's capacity to respond to COVID-19.",2020,"Cad Saude Publica","36","8","e00161320",32901703,"10.1590/0102-311x00161320","Latin America and Caribbean"
"16","Covid-19 pandemic implications for food and nutrition security in Brazil","Ribeiro-Silva, R. C.; Pereira, M.; Campello, T.; Aragão, É; Guimarães, J. M. M.; Ferreira, A. J.; Barreto, M. L.; Santos, Smcd","The emergence of COVID-19 in Brazil further explained the massive discrepancy between different social realities coexisting in the country, rekindling the discussions about food and nutrition security, similarly to what has been happening in other countries facing the same pandemic situation. In this paper, we argue that the risks to hunger and food security in Brazil have been present since 2016 and are now being exacerbated due to the emergence of the COVID-19 epidemic. This situation requires knowing the extent and magnitude of the issue and articulation of measures in the three governmental spheres(federal, municipal and state) to ensure access to adequate and healthy food and reduce the disease's adverse effectson the diet, health, and nutrition among the most vulnerable people. Thus, this work aims to contribute to the debate on the measures to be adopted by governments and society to promote and ensure food and nutrition security and prevent insecurity and the expansion of hunger during and after the social and health crisis created by the pandemic.",2020,"Cien Saude Colet","25","9","3421-3430",32876253,"10.1590/1413-81232020259.22152020","Latin America and Caribbean"
"17","COVID-19 Therapies in Brazil: Should We Be Concerned with the Impacts on Aquatic Wildlife?","Farias, D. F.; Souza, T.; Souza, Jacr; Vieira, L. R.; Muniz, M. S.; Martins, R. X.; Gonçalves Í, F. S.; Pereira, E. A. S.; Maia, M. E. S.; Silva, M. G. F.","The use of unproven COVID‐19 drugs has seen a massive increase in recent months in Brazil. Chloroquine (CQ), hydroxychloroquine (HCQ) and ivermectin (IVM) are among the most politically promoted and sold drugs. As a result, an increased demand for these pharmaceuticals has been observed across the country with sales increase by more than 50% in comparison to 2019. In a country where only 46% of domestic wastewater is treated, what can we expect from the effects of these drugs and their metabolites on aquatic wildlife? The environmental fate and ecotoxicity data for IVM indicate varying degrees of toxicity to aquatic invertebrates and the potential to accumulate in several aquatic organisms. The CQ compound was classified as harmful to aquatic organisms and may cause long‐term adverse effects in the aquatic environment. As for HCQ, it has been tagged as posing insignificant environmental risks in the pre‐pandemic scenario despite its environmental persistence. Fragile Brazilian biomes, such as the Amazon (North region), Caatinga and coastal region of the Northeast and the Atlantic Rainforest (Southeast region) are of particular concern given the high incidence of COVID‐19 cases in these areas. The large‐scale use of unproven drugs in response to the pandemic may add undue weight to the increased volume of pharmaceuticals entering the environment, leaving the local biota vulnerable to the harmful effects of these contaminants. A nationwide coordinated response is urgently needed to monitor the levels and investigate the impacts of these emerging contaminants. This article is protected by copyright. All rights reserved.",2020,"Environ Toxicol Chem","39","12","2348-2350",33006776,"10.1002/etc.4888","Latin America and Caribbean"
"18","Family farming in times of Covid-19","Cavalli, S. B.; Soares, P.; Martinelli, S. S.; Schneider, S.","Family farming plays a vital role in the global food supply. The mobility restriction measures adopted internationally to contain Covid-19 are necessary to control the pandemic progress. However, they can impair food production and distribution. This paper aims to discuss the effects of the Covid-19 containment measures on the production and distribution of family farming food, and strategies to strengthen this sector. Sanitary and social distancing requirements, the interruption of supply to institutional markets, the closure of local farmers’ markets, or people’s declining food demand are hampering family farming food production’s flow and shrinking family farmers’ income. This situation can jeopardize the food sovereignty and nutritional security of the population in the medium and long term. Access to Personal Protective Equipment, the reorganization of local farmers’ markets, investment in new technologies for direct commercialization, guarantee of minimum income, and the strengthening/expansion of institutional food purchases are some of the strategies that can contribute to overcome the new challenges imposed on family farming as a result of the Covid-19 pandemic. We conclude the article by arguing that the support to and enhancement of the family farming sector are strategic to ensure food supply and to strengthen food and nutrition sovereignty and security. © 2020. All Rights Reserved.",2020,"Revista de Nutricao","33","","1-8",NA,"10.1590/1678-9865202033e200180","Latin America and Caribbean"
"19","Empowering fisherwomen leaders helped reduce the effects of the COVID-19 pandemic on fishing communities: Insights from Brazil","Silva, M. R. O.; Silva, A. B.; Barbosa, J. C.; Amaral, C.; Lopes, P. F. M.","Small-scale fishers in the developing world have been particularly affected by the COVID-19 pandemic given that they belong to one of the most socioeconomically vulnerable groups. In Brazil, one of the countries most affected by the pandemic, it was expected early on that the economy and wellbeing of fishers would be negatively impacted, yet fishers were expected to show some adaptive and coping mechanisms. To assess whether this was the case, 40 fishers, who are also leaders of fishing associations representing over 80 thousand fishers throughout the country, were interviewed. Results revealed that female leaders appraised the economic and health / wellbeing impacts to be harsher on fishers than men did. Moreover, fishers on the coast were found to be better able to adapt than those inland, although both had low levels of adaptive capacity. The nature of coping and adaptive mechanisms was also found to be different between locations. Whereas leaders from coastal associations stated that most of the adaptive responses occurred in the post-harvest sector (e.g., changes to the types of sales and changes to supply chain actors), leaders from inland communities stated that the changes that occurred related specifically to fishing (e.g., decrease in effort and changes in fishing grounds). These findings suggest that: 1) women may be better prepared to respond to COVID-19 because their appraisal may be more realistic than men, 2) the historic vulnerability of fishing communities may limit their adaptative capacity, and 3) coastal fishers have likely found ways to maintain part of their trade, contrary to inland fishers. Thus, to better help small-scale fisheries to cope with this particular pandemic or other large disruptive impacts, it would be recommended to invest in women in leadership roles while also guaranteeing that fishers have the minimal conditions to cope with and adapt to impacts. The latter can be done by assuring emergency cash transfers for the duration of the impact, as with the still ongoing pandemic, and investing in building fisher resilience for future shocks.",2022,"Mar Policy","135","","104842",34732972,"10.1016/j.marpol.2021.104842","Latin America and Caribbean"
"20","Effect of the COVID-19 pandemic on food habits and perceptions: A study with Brazilians","Ferreira Rodrigues, J.; Cunha Dos Santos Filho, M. T.; Aparecida de Oliveira, L. E.; Brandemburg Siman, I.; Barcelos, A. F.; de Paiva Anciens Ramos, G. L.; Almeida Esmerino, E.; Gomes da Cruz, A.; Arriel, R. A.","BACKGROUND: Following the COVID-19 pandemic (caused by the SARS-CoV-2 coronavirus) at the beginning of 2020, containment measures have been taken by different countries around the globe. Citizens were forced to stay in quarantine, affecting their food consumption habits and food sector. These impacts have not yet been properly understood. Thus, it is important to describe the consequences of COVID-19 on food consumption habits globally, especially in the context of developing countries, such as Brazil. SCOPE AND APPROACH: In this study, the Brazilian's food consumption habits and perceptions during the COVID-19 pandemic were assessed, highlighting the food consumption changes and selection of food products. Consumer perceptions about issues related to food safety and food marketing were also assessed. An online survey was performed and data were analyzed by descriptive analysis; independence and per cell chi-square test; and factor analysis. KEY FINDINGS AND CONCLUSIONS: Brazilians perceptions indicated that the COVID-19 pandemic context (assessed in May 2020) changed their food consumption and purchase. Respondents stated that they are eating and buying a greater amount of food, indicating a perception of a less healthy diet, mainly by women. On other hand, they are prioritizing homemade preparations and fresh food. Moreover, they reduced their shopping trips to markets and are starting to use delivery services and shopping platforms. Basic products of animal, vegetable, and bakery origin are being preferred during this period, in addition to economical packaging and products. Brazilians also indicated that they are more concerned with food safety and hygienic practices. However, at a time when global health is threatened, government agencies must create measures that ensure the food supply and consumer's awareness, in order to guarantee the country's food security during the current crisis.",2021,"Trends Food Sci Technol","116","","992-1001",34539079,"10.1016/j.tifs.2021.09.005","Latin America and Caribbean"
"21","Ultra-processed and fresh food consumption and symptoms of anxiety and depression during the COVID - 19 pandemic: COVID Inconfidentes","Coletro, H. N.; Mendonça, R. D.; Meireles, A. L.; Machado-Coelho, G. L. L.; Menezes, M. C.","BACKGROUND & AIM: Psychological disorders are an important health problem worldwide. A healthy diet is recommended as one of the measures to prevent and control mental disorders. Epidemiological studies have shown important associations between the consumption of diets rich in nutrients and a lower risk of developing anxiety and depression. Therefore, the aim of this study was to evaluate the association between the prevalence of anxiety and depression symptoms and food consumption, according to the degree of processing, during the COVID-19 pandemic. METHODS: An epidemiological household survey was conducted in two cities in Brazil. Anxiety and depression symptoms were assessed using validated scales (Generalized Anxiety Disorder 7-item/Patient Health Questionnaire-9), and food consumption was assessed using a qualitative food frequency questionnaire referring to consumption within the last 3 months. The foods were categorized according to the NOVA classification for fresh/minimally processed food and ultra-processed food, using the average weekly consumption as the cutoff. For data analysis, adjusted Poisson regression with robust variance was utilized to estimate the prevalence ratio and 95% confidence interval (CI). RESULTS: The consumption of fresh/minimally processed foods above the weekly average frequency was associated with a lower prevalence of symptoms of depression (PR: 0.5, 95% CI: 0.3; 0.7). Consumption above the weekly average of ultra-processed foods was associated with a higher prevalence of anxiety (PR: 1.5 and 95% CI: 1.03; 2.3) and depression symptoms (PR: 1.5, 95% CI: 1.0; 2.1, P = 0.034). CONCLUSION: Increased consumption of ultra-processed foods is associated with a higher occurrence of anxiety and depression symptoms; therefore, we recommend an increase in the consumption of fresh/minimally processed foods, as endorsed by the Dietary Guidelines for the Brazilian Population.",2022,"Clin Nutr ESPEN","47","","206-214",35063203,"10.1016/j.clnesp.2021.12.013","Latin America and Caribbean"
"22","Food systems and COVID-19 in Latin America and the Caribbean","","",2020,"","","","",NA,"","Latin America and Caribbean"
"23","Diet and Lifestyle Changes During the COVID-19 Pandemic in Ibero-American Countries: Argentina, Brazil, Mexico, Peru, and Spain","Enriquez-Martinez, O. G.; Martins, M. C. T.; Pereira, T. S. S.; Pacheco, S. O. S.; Pacheco, F. J.; Lopez, K. V.; Huancahuire-Vega, S.; Silva, D. A.; Mora-Urda, A. I.; Rodriguez-Vásquez, M.; Montero López, M. P.; Molina, M. C. B.","This study aimed to evaluate changes in dietary and lifestyle habits during the period of confinement due to the first wave of the COVID-19 pandemic in Ibero-American countries. A cross-sectional investigation was conducted with 6,325 participants of both genders (68% women), over 18 years of age and from five countries: Brazil (N = 2,171), Argentina (N = 1,111), Peru (N = 1,174), Mexico (N = 686), and Spain (N = 1,183). Data were collected during the year 2020, between April 01 and June 30 in Spain and between July 13 and September 26, in the other countries studied using a self-administered online survey designed for the assessment of sociodemographic, employment, physical activity, health status, and dietary habits changes. Most participants (61.6%), mainly those from Spain, remained constant, without improving or worsening their pattern of food consumption. Among those who changed, a pattern of better eating choices prevailed (22.7%) in comparison with those who changed toward less healthy choices (15.7%). Argentina and Brazil showed the highest proportion of changes toward a healthier pattern of food consumption. Peruvians and Mexicans were less likely to make healthy changes in food consumption (OR: 0.51; 95% CI: 0.4-0.6 and OR: 0.69; 95% CI: 0.4-0.8, respectively), when compared to Argentinians. Most respondents did not change their pattern of meal consumption, but those who did reduced their consumption of main meals and increased intake of small meals and snacks. Although most participants affirmed to be doing physical activity at home, about one-half reported perception of weight gain. Individuals with alterations in sleep pattern (either by increasing or decreasing sleep time) were more likely to change their diets to a healthier pattern. In contrast, individuals with confirmed diagnosis of COVID-19 and those who reported feeling anxious were more likely to perform changes to a less healthy eating pattern (OR: 1.72; 95% CI: 1.2-2.3 and OR: 1.21; 95% CI: 1.1-1.4, respectively). In conclusion, although most participants remained constant in their eating habits, lifestyle changes and anxiety feelings were reported. Among those who changed patterns of food consumption, healthier choices prevailed, with differences between countries. However, there were alterations in the distribution of meals, with higher consumption of snacks and small meals. These results can be used to guide policies to prevent deleterious consequences that may affect the incidence of chronic diseases.",2021,"Front Nutr","8","","671004",34150828,"10.3389/fnut.2021.671004","Latin America and Caribbean"
